

https://www.google.com/setprefs?sig=0_GWf5-WmI5T_Yf12s21b2nlI9zsg%3D&hl=te&source=homepage&sa=X&ved=0ahUKEwjhnPuE2uXsAhWVYysKHZHWBaMQ2ZgBCBE

,name,content,http-equiv,charset
0,,text/html; charset=UTF-8,Content-Type,


https://www.google.com/setprefs?sig=0_GWf5-WmI5T_Yf12s21b2nlI9zsg%3D&hl=pa&source=homepage&sa=X&ved=0ahUKEwjhnPuE2uXsAhWVYysKHZHWBaMQ2ZgBCBc

,name,content,http-equiv,charset
0,,text/html; charset=UTF-8,Content-Type,


https://www.google.com/history/optout?hl=en-IN&fg=1

,name,content,http-equiv,charset
0,referrer,origin,,
1,viewport,"initial-scale=1,minimum-scale=1,maximum-scale=1,user-scalable=no",,


https://www.google.com/setprefs?sig=0_GWf5-WmI5T_Yf12s21b2nlI9zsg%3D&hl=mr&source=homepage&sa=X&ved=0ahUKEwjhnPuE2uXsAhWVYysKHZHWBaMQ2ZgBCBI

,name,content,http-equiv,charset
0,,text/html; charset=UTF-8,Content-Type,


https://support.google.com/websearch/?p=ws_results_help&hl=en-IN&fg=1

,name,content,http-equiv,charset
0,format-detection,email=no,,
1,robots,"nofollow,noindex",,
2,,"IE=edge,chrome=1",X-UA-Compatible,
3,description,Official Google Search Help Center where you can find tips and tutorials on using Google Search and other answers to frequently asked questions.,,
4,viewport,"width=device-width,initial-scale=1,maximum-scale=1,user-scalable=no",,


https://www.google.co.in/imghp?hl=en&tab=wi&ogbl

,name,content,http-equiv,charset
0,,,,UTF-8
1,referrer,origin,,
2,description,Google Images. The most comprehensive image search on the web.,,
3,description,Google Images. The most comprehensive image search on the web.,,
4,,/images/branding/googleg/1x/googleg_standard_color_128dp.png,,


https://www.google.com

,name,content,http-equiv,charset
0,,,,UTF-8
1,referrer,origin,,
2,,/images/branding/googleg/1x/googleg_standard_color_128dp.png,,


https://about.google/?utm_source=google-IN&utm_medium=referral&utm_campaign=hp-footer&fg=1

,name,content,http-equiv,charset
0,,,,utf-8
